Security,MarketValue,Symbol,SEDOL,Quantity,Weight,ETF,Date
Bumi Resources Minerals Tbk PT,10738054,BRMS IJ,B3R5893,502929200,8.66,SGDJ,2025-02-28
SSR Mining Inc.,10015033,SSRM CN,BF7MPL9,1004106,8.07,SGDJ,2025-02-28
De Grey Mining Ltd.,7993381,DEG AU,6534837,6555793,6.44,SGDJ,2025-02-28
Orla Mining Ltd.,7710773,OLA CN,BYZGJ92,1101240,6.22,SGDJ,2025-02-28
Gold Road Resources Ltd.,7602435,GOR AU,B15F5K1,5042010,6.13,SGDJ,2025-02-28
Artemis Gold Inc.,7266961,ARTG CN,BKLTQ63,664989,5.86,SGDJ,2025-02-28
New Gold Inc.,6633345,NGD CN,2826947,2441932,5.35,SGDJ,2025-02-28
Calibre Mining Corp.,6601360,CXB CN,BGYKMJ0,3351059,5.32,SGDJ,2025-02-28
Wesdome Gold Mines Ltd.,6544681,WDO CN,B0Y90N5,651653,5.28,SGDJ,2025-02-28
Westgold Resources Ltd.,6024559,WGX AU,BYVQ673,3868199,4.86,SGDJ,2025-02-28
K92 Mining Inc.,5431864,KNT CN,BYZ2CB3,818599,4.38,SGDJ,2025-02-28
Emerald Resources NL,5076613,EMR AU,6107381,2055646,4.09,SGDJ,2025-02-28
Vault Minerals Ltd.,4718887,VAU AU,BSML1B4,18777675,3.8,SGDJ,2025-02-28
Centerra Gold Inc.,4143745,CG CN,B01NXQ4,723156,3.34,SGDJ,2025-02-28
Fortuna Mining Corp.,4129237,FVI CN,BPLQGB4,955836,3.33,SGDJ,2025-02-28
Seabridge Gold Inc.,4078073,SA,B00VFP2,376206,3.29,SGDJ,2025-02-28
McEwen Mining Inc.,3513994,MUX,BQGD8H7,510755,2.83,SGDJ,2025-02-28
Bellevue Gold Ltd.,2856907,BGL AU,BFZ31P0,3918462,2.3,SGDJ,2025-02-28
Skeena Resources Ltd.,1269420,SKE CN,BMDM761,128699,1.02,SGDJ,2025-02-28
Genesis Minerals Ltd.,1057971,GMD AU,B23G0X1,536172,0.85,SGDJ,2025-02-28
Capricorn Metals Ltd.,989106,CMM AU,BDD98W2,210296,0.8,SGDJ,2025-02-28
Regis Resources Ltd.,978545,RRL AU,6476542,492820,0.79,SGDJ,2025-02-28
Dundee Precious Metals Inc.,962479,DPM CN,B00VD03,82103,0.78,SGDJ,2025-02-28
Torex Gold Resources Inc.,926181,TXG CN,BD2NKY1,42417,0.75,SGDJ,2025-02-28
Pan African Resources PLC,881082,PAF LN,0430049,2057101,0.71,SGDJ,2025-02-28
Greatland Gold PLC,868206,GGP LN,B15XDH8,8216743,0.7,SGDJ,2025-02-28
Ramelius Resources Ltd.,827524,RMS AU,6586872,507087,0.67,SGDJ,2025-02-28
Hochschild Mining PLC,768869,HOC LN,B1FW502,333280,0.62,SGDJ,2025-02-28
OceanaGold Corp.,763888,OGC CN,B1Z7L21,284834,0.62,SGDJ,2025-02-28
West African Resources Ltd.,726444,WAF AU,B4KBBN0,674777,0.59,SGDJ,2025-02-28
Endeavour Silver Corp.,696126,EDR CN,2980003,189665,0.56,SGDJ,2025-02-28
Novagold Resources Inc.,604002,NG,2206903,201334,0.49,SGDJ,2025-02-28
Resolute Mining Ltd.,469502,RSG AU,6410636,2073015,0.38,SGDJ,2025-02-28
Firefinch Ltd.,288207,FFX AU,BKPJ9T3,6635363,0.23,SGDJ,2025-02-28
Victoria Gold Corp./Vancouver,6,VGCX CN,BKMJWS6,968690,0.05,SGDJ,2025-02-28
Cash Equivalent,122518,,,-122518,-0.11,SGDJ,2025-02-28
